Approved Symbol	Approved Name	Previous Symbols	Previous Name	Synonyms	Chromosome	Gene Family ID
A1BG	alpha-1-B glycoprotein				19q13.43	594
A1CF	APOBEC1 complementation factor			ACF, ASP, ACF64, ACF65, APOBEC1CF	10q11.23	725
A2M	alpha-2-macroglobulin			FWP007, S863-7, CPAMD5	12p13.31	1234
A2ML1	alpha-2-macroglobulin like 1	CPAMD9	C3 and PZP-like, alpha-2-macroglobulin domain containing 9	FLJ25179, p170	12p13.31	1234
A3GALT2	alpha 1,3-galactosyltransferase 2	A3GALT2P	alpha 1,3-galactosyltransferase 2, pseudogene	IGBS3S, IGB3S	1p35.1	429
A4GALT	alpha 1,4-galactosyltransferase (P blood group)	P1	"alpha 1,4-galactosyltransferase (globotriaosylceramide synthase, P blood group), ""P one antigen (P blood group)"""	A14GALT, Gb3S, P(k)	22q13.2	442|454
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase			alpha4GnT	3q22.3	442
AAAS	aladin WD repeat nucleoporin		"achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A), ""achalasia, adrenocortical insufficiency, alacrimia"""		12q13.13	1051|362
AACS	acetoacetyl-CoA synthetase			FLJ12389, SUR-5, ACSF1	12q24.31	40
AADAC	arylacetamide deacetylase		arylacetamide deacetylase (esterase)	DAC, CES5A1	3q25.1	465|464
AADACL2	arylacetamide deacetylase like 2			MGC72001	3q25.1	465
AADACL3	arylacetamide deacetylase like 3			OTTHUMG00000001887	1p36.21	465
AADACL4	arylacetamide deacetylase like 4			OTTHUMG00000001889	1p36.21	465
AADAT	aminoadipate aminotransferase			KATII, KAT2, KYAT2	4q33	
AAED1	AhpC/TSA antioxidant enzyme domain containing 1	C9orf21	chromosome 9 open reading frame 21		9q22.33	
AAGAB	alpha and gamma adaptin binding protein			FLJ11506, p34	15q23	
AAK1	AP2 associated kinase 1			KIAA1048, DKFZp686K16132	2p13.3	
AAMDC	adipogenesis associated Mth938 domain containing	C11orf67	chromosome 11 open reading frame 67	PTD015, FLJ21035, CK067	11q14.1	
AAMP	angio associated migratory cell protein				2q35	362
AANAT	aralkylamine N-acetyltransferase		arylalkylamine N-acetyltransferase	SNAT	17q25.1	1134
AAR2	AAR2 splicing factor homolog	C20orf4	"chromosome 20 open reading frame 4, ""AAR2 splicing factor homolog (S. cerevisiae)"""	bA234K24.2	20q11.23	
AARD	alanine and arginine rich domain containing protein	C8orf85	chromosome 8 open reading frame 85	LOC441376	8q24.11	
AARS	alanyl-tRNA synthetase			CMT2N, AlaRS	16q22.1	132
AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL	"alanyl-tRNA synthetase like, ""alanyl-tRNA synthetase 2, mitochondrial (putative)"""	KIAA1270, bA444E17.1	6p21.1	132
AARSD1	alanyl-tRNA synthetase domain containing 1			MGC2744	17q21.31	
AASDH	aminoadipate-semialdehyde dehydrogenase			NRPS998, LYS2, ACSF4	4q12	40
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase			LYS5, CGI-80, AASD-PPT, ACPS	11q22.3	
AASS	aminoadipate-semialdehyde synthase			LORSDH, LKRSDH	7q31.32	
AATF	apoptosis antagonizing transcription factor			DED, CHE-1, CHE1, BFR2	17q12	
AATK	apoptosis associated tyrosine kinase			AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3	694|321
ABAT	4-aminobutyrate aminotransferase			GABAT	16p13.2	
ABCA1	ATP binding cassette subfamily A member 1	ABC1, HDLDT1	ATP-binding cassette, sub-family A (ABC1), member 1	TGD	9q31.1	805
ABCA2	ATP binding cassette subfamily A member 2	ABC2	ATP-binding cassette, sub-family A (ABC1), member 2		9q34.3	805
ABCA3	ATP binding cassette subfamily A member 3	ABC3	ATP-binding cassette, sub-family A (ABC1), member 3	ABC-C, EST111653, LBM180	16p13.3	805
ABCA4	ATP binding cassette subfamily A member 4	STGD1, ABCR, RP19, STGD	"ATP-binding cassette transporter, retinal-specific, ""ATP-binding cassette, sub-family A (ABC1), member 4"""	FFM, ARMD2, CORD3	1p22.1	805
ABCA5	ATP binding cassette subfamily A member 5		ATP-binding cassette, sub-family A (ABC1), member 5	EST90625	17q24.3	805
ABCA6	ATP binding cassette subfamily A member 6		ATP-binding cassette, sub-family A (ABC1), member 6	EST155051	17q24.2-q24.3	805
ABCA7	ATP binding cassette subfamily A member 7		ATP-binding cassette, sub-family A (ABC1), member 7	ABCX	19p13.3	805
ABCA8	ATP binding cassette subfamily A member 8		ATP-binding cassette, sub-family A (ABC1), member 8	KIAA0822	17q24.2	805
ABCA9	ATP binding cassette subfamily A member 9		ATP-binding cassette, sub-family A (ABC1), member 9	EST640918	17q24.2	805
ABCA10	ATP binding cassette subfamily A member 10		ATP-binding cassette, sub-family A (ABC1), member 10	EST698739	17q24.3	805
ABCA12	ATP binding cassette subfamily A member 12	ICR2B	"ichthyosis congenita II, lamellar ichthyosis B, ""ATP-binding cassette, sub-family A (ABC1), member 12"""	DKFZP434G232, LI2	2q35	805
ABCA13	ATP binding cassette subfamily A member 13		ATP-binding cassette, sub-family A (ABC1), member 13	FLJ33876, FLJ33951	7p12.3	805
ABCB1	ATP binding cassette subfamily B member 1	PGY1, MDR1, CLCS	"colchicin sensitivity, ""ATP-binding cassette, sub-family B (MDR/TAP), member 1"""	P-gp, CD243, GP170, ABC20	7q21.12	471|806
